respondent_anon_id,raw_text,categoria_num,categoria_label,categoria_sub,categoria_sub_label
A-183,Cuidar dos direitos dos trabalhadores,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-184,Jurídico,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-185,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-186,Portaria,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-187,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-188,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-189,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-190,Jurídico,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-191,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-192,Não sei responder,5,Todas / não sabe / sem resposta clara,5c,"Explicitamente ""não sabe"""
A-194,"Ter o advogado para defender o trabalhador, fazer os calculos para quem procura o sindicato",3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-195,Auxiliar a resolver os problemas que têm situações difíceis,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-196,"Abrir nosso olhar, para os patrões escravocratas, e nos fazendo entender que temos leis",2,Orientação sobre direitos,2,Orientação sobre direitos
A-197,"O conjunto em si, são todos necessários a população",5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-198,No auxílio a na elucidação dos nossos direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-199,Informar a empregadas os seus direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-200,O sindicato ajuda nós diarista a saber os dirietos e que não pode recevber só o que eles quer pagar,2,Orientação sobre direitos,2,Orientação sobre direitos
A-201,A orientação,2,Orientação sobre direitos,2,Orientação sobre direitos
A-203,Acolher no momento de medo,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-204,Ele luta para que a trabalhadora tenha seus direitos garantidos como a de outras categorias,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-205,lutas para continuarmos tendo os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-206,Lutar e defender os direitos das domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-207,Todas funções são importantes em qualquer lugar,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-208,Defender as trabalhadoras domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-209,Serviços domésticos,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-210,Defender as domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-211,Lutar pelos nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-212,Orientar as domésticas dos seus direitos,2,Orientação sobre direitos,2,Orientação sobre direitos
A-213,Seu objetivo é ajudar no direito do trabalhador,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-214,Acolher no momento de necessidade,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-215,é ajudar nós domésticas não só orientando como ajudar com outras situações onde ir quanto o assunto é problema de família.,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-216,"importante pois corre atrás dos nossos direitos, pois nós não temos tempo",1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-217,Ter orientação jurídica,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-218,Orientando a doméstica,2,Orientação sobre direitos,2,Orientação sobre direitos
A-219,A busca por melhores benefícios a nossa categoria,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-220,"Ainda nção precisei do sindicato, mas vou conhecer o trabalho dele",5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-221,Ter convenção coletiva e ter advogado para defender os nossos direitos,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-222,Cobrar dos patrões quando não pagam direito,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
